name,id,team_abb,team_id,batting_average,on_base_percentage,slugging,appearances,plate_appearances,at_bats,hits,walks,singles,doubles,triples,quadruples,home_runs,runs_batted_in,strikeouts,sacrifice_bunts,sacrifice_flies,at_bats_risp,hits_risp,batting_average_risp,on_base_slugging,total_bases,hit_by_pitches,ground_outs,flyouts,gidp,stolen_bases,caught_stealing,runs
Simon Haley,020ed630-8bae-4441-95cc-0e4ecc27253b,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.198,0.261,0.469,99,406,373,74,32,40,14,5,0,15,41,129,1,0,74,13,0.176,0.73,175,0,122,37,0,20,3,38
Bennett Browning,03097200-0d48-4236-a3d2-8bdb153aa8f7,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,1.0,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2.0,1,0,0,0,0,0,0,0
Halexandrey Walton,03b80a57-77ea-4913-9be4-7a85c3594745,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.263,0.316,0.576,99,571,528,139,41,81,20,10,0,28,66,75,1,0,70,23,0.329,0.892,304,0,147,157,1,2,4,76
Glabe Moon,04931546-1b4a-469f-b391-7ed67afe824c,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.226,0.248,0.58,99,290,274,62,10,24,11,5,0,22,43,51,6,0,40,8,0.2,0.828,159,0,107,43,2,14,0,47
Stevenson Monstera,05bd08d5-7d9f-450b-abfa-1788b8ee8b91,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Morrow Wilson,06ced607-7f96-41e7-a8cd-b501d11d1a7e,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.111,0.16,0.22,99,421,396,44,23,34,5,0,0,5,11,264,0,0,69,9,0.13,0.38,87,0,57,17,2,3,2,24
Jessica Telephone,083d09d4-7ed3-4100-b021-8fbe30dd43e8,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.312,0.338,0.782,99,311,298,93,12,36,16,11,0,30,64,43,1,0,45,17,0.378,1.12,233,0,104,47,0,13,2,61
Don Elliott,0cc5bd39-e90d-42f9-9dd8-7e703f316436,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.198,0.255,0.435,99,400,368,73,29,46,11,1,0,15,31,121,3,0,57,7,0.123,0.69,160,0,105,60,1,4,2,38
Caleb Novak,0eddd056-9d72-4804-bd60-53144b785d5c,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.242,0.295,0.525,99,386,356,86,28,49,15,8,0,14,35,108,2,0,65,16,0.246,0.82,187,0,97,37,2,17,6,50
Helga Moreno,0eea4a48-c84b-4538-97e7-3303671934d2,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.225,0.283,0.514,98,360,329,74,28,40,9,17,0,8,34,80,3,0,55,14,0.255,0.797,169,0,98,69,2,16,4,22
Tamara Crankit,0f61d948-4f0c-4550-8410-ae1c7f9f5613,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.234,0.265,0.417,99,458,432,101,20,66,22,2,0,11,39,85,5,0,59,21,0.356,0.682,180,0,181,52,1,1,1,45
Allison Abbott,1068f44b-34a0-42d8-a92e-2be748681a6f,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.221,0.251,0.493,99,351,335,74,14,33,15,16,0,10,33,99,2,0,44,12,0.273,0.744,165,0,108,46,1,4,1,41
Don Mitchell,11de4da3-8208-43ff-a1ff-0b3480a0fbf1,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.248,0.313,0.592,99,467,424,105,41,53,20,11,0,21,53,59,1,0,68,22,0.324,0.905,251,0,119,132,2,64,2,67
Jasmine Washington,12577256-bc4e-4955-81d6-b422d895fb12,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.203,0.265,0.481,99,321,295,60,25,32,12,3,0,13,37,75,1,0,57,12,0.211,0.746,142,0,85,60,1,3,1,42
Sigmund Castillo,126fb128-7c53-45b5-ac2b-5dbf9943d71b,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.21,0.264,0.446,97,475,439,92,33,59,12,4,0,17,52,95,2,0,92,23,0.25,0.71,196,0,161,81,1,33,1,60
Malik Destiny,1301ee81-406e-43d9-b2bb-55ca6e0f7765,SEA,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,0.219,0.278,0.503,99,406,374,82,31,46,13,7,0,16,45,81,1,0,71,18,0.254,0.781,188,0,134,59,2,3,0,43
Spears Taylor,13a05157-6172-4431-947b-a058217b4aa5,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.201,0.262,0.414,99,436,394,79,35,51,12,11,0,5,30,118,6,0,80,17,0.213,0.676,163,0,134,54,0,6,4,31
Sebastian Telephone,14d88771-7a96-48aa-ba59-07bae1733e96,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.0,0,0,0,0,0,0,0,0
Mickey Woods,15ae64cd-f698-4b00-9d61-c9fffd037ae2,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0
Sebastian Woodman,15d3a844-df6b-4193-a8f5-9ab129312d8d,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.185,0.282,0.4,99,380,330,61,46,47,8,1,0,5,23,133,4,0,55,7,0.127,0.682,132,0,73,57,1,16,1,30
Jacob Winner,167751d5-210c-4a6e-9568-e92d61bab185,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.205,0.247,0.502,99,466,438,90,25,44,15,3,0,28,67,100,3,0,65,19,0.292,0.749,220,0,119,108,2,15,3,53
Washer Barajas,17392be2-7344-48a0-b4db-8a040a7fb532,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.275,0.318,0.487,99,450,415,114,29,87,10,2,0,15,42,60,6,0,53,18,0.34,0.805,202,0,167,62,0,4,1,56
Cory Ross,17397256-c28c-4cad-85f2-a21768c66e67,STK,b024e975-1c4a-4575-8936-a3754a08806a,0.176,0.243,0.399,97,329,301,53,27,34,6,5,0,8,25,106,1,0,51,8,0.157,0.642,120,0,95,36,2,14,1,42
Steph Weeks,18f45a1b-76eb-4b59-a275-c64cf62afce0,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.284,0.292,0.525,99,424,408,116,8,64,29,8,0,15,64,76,8,0,84,24,0.286,0.817,214,0,149,46,2,17,3,54
Nerd Pacheco,190a0f31-d686-4ac4-a7f3-cfc87b72c145,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.264,0.299,0.533,56,244,227,60,13,36,8,8,0,8,26,21,4,0,32,7,0.219,0.832,121,0,86,49,0,22,1,27
Ayanna Dumpington,19241aa4-38e3-45ed-9750-68f4401f80e1,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.222,0.252,0.484,99,329,316,70,13,39,8,7,0,16,30,76,0,0,41,9,0.22,0.736,153,0,130,26,1,17,1,41
Ren Hunter,198fd9c8-cb75-482d-873e-e6b91d42a446,NYM,36569151-a2fb-43c1-9df7-2df512424c82,0.246,0.266,0.558,99,391,378,93,11,47,10,11,0,25,50,88,2,0,61,13,0.213,0.824,211,0,127,54,2,10,1,54
Juan Rangel,1ba715f2-caa3-44c0-9118-b045ea702a34,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,1,0,0,0,0
Sparks Beans,1c73f91e-0562-480d-9543-2aab1d5e5acd,SEA,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,0.253,0.296,0.479,99,355,332,84,21,57,12,3,0,12,45,62,2,0,64,19,0.297,0.775,159,0,112,53,3,19,2,34
Fletcher Yamamoto,1e8b09bd-fbdd-444e-bd7e-10326bd57156,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.185,0.241,0.37,31,145,135,25,10,18,3,0,0,4,10,47,0,0,26,6,0.231,0.611,50,0,35,24,1,1,1,35
Fletcher Yamamoto,1e8b09bd-fbdd-444e-bd7e-10326bd57156,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.167,0.199,0.306,69,231,222,37,9,22,11,1,0,3,9,79,0,0,31,5,0.161,0.505,68,0,60,36,2,1,1,35
NaN,1f159bab-923a-4811-b6fa-02bfde50925a,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.176,0.247,0.435,20,93,85,15,8,8,3,1,0,3,7,33,0,0,13,2,0.154,0.682,37,0,17,19,0,2,2,32
NaN,1f159bab-923a-4811-b6fa-02bfde50925a,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.117,0.202,0.33,31,104,94,11,10,7,1,0,0,3,8,32,0,0,19,1,0.053,0.532,31,0,31,13,1,2,2,32
NaN,1f159bab-923a-4811-b6fa-02bfde50925a,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.146,0.185,0.278,49,168,158,23,8,16,4,0,0,3,10,53,2,0,29,5,0.172,0.463,44,0,52,25,1,2,2,32
Socks Maybe,20c529b3-947e-4a77-b56f-69fe25fb3717,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.175,0.205,0.302,99,331,315,55,13,38,11,2,0,4,20,125,3,0,69,10,0.145,0.507,95,0,102,24,1,6,0,27
Lou Roseheart,20e13b56-599b-4a22-b752-8059effc81dc,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.292,0.327,0.606,99,333,312,91,18,47,19,14,0,11,42,54,3,0,57,14,0.246,0.933,189,0,123,30,0,20,1,40
Hotbox Sato,2175cda0-a427-40fd-b497-347edcc1cd61,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.175,0.248,0.342,99,435,395,69,39,55,6,3,0,5,20,168,1,0,51,11,0.216,0.59,135,0,72,81,0,2,2,18
Juice Collins,21cbbfaa-100e-48c5-9cea-7118b0d08a34,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.233,0.274,0.409,99,459,430,100,25,67,23,2,0,8,42,86,2,0,62,20,0.323,0.683,176,0,169,44,2,22,2,54
Antonio Wallace,248ccf3d-d5f6-4b69-83d9-40230ca909cd,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Beasley Day,26cfccf2-850e-43eb-b085-ff73ad0749b8,PIES,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0.219,0.268,0.423,90,508,471,103,33,78,2,8,0,15,48,133,4,0,84,19,0.226,0.691,199,0,116,94,2,8,3,62
Basilio Mason,27c68d7f-5e40-4afa-8b6f-9df47b79e7dd,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.216,0.251,0.43,99,509,481,104,24,61,20,10,0,13,48,111,4,0,86,17,0.198,0.681,207,0,119,122,5,16,1,61
Son Scotch,285ce77d-e5cd-4daa-9784-801347140d48,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.24,0.293,0.51,99,443,412,99,31,64,10,5,0,20,46,71,0,0,79,20,0.253,0.803,210,0,156,73,3,4,0,43
Inez Owens,28964497-0efe-420c-9c1d-8574f224a4e9,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.244,0.273,0.45,99,373,349,85,17,55,16,3,0,11,38,67,7,0,37,13,0.351,0.723,157,0,109,76,0,6,2,58
Forrest Bookbaby,2ae8cbfc-2155-4647-9996-3f2591091baf,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Ortiz Lopez,2b157c5c-9a6a-45a6-858f-bf4cf4cbc0bd,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.207,0.274,0.47,99,376,338,70,33,45,8,3,0,14,48,81,5,0,55,18,0.327,0.744,159,0,101,66,5,4,2,31
Isaac Rubberman,2b1cb8a2-9eba-4fce-85cf-5d997ec45714,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Dudley Mueller,2b5f5dd7-e31f-4829-bec5-546652103bc0,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.372,0.414,0.825,99,504,462,172,36,87,35,12,0,38,120,55,5,0,98,40,0.408,1.239,381,0,86,132,2,24,7,98
Lawrence Horne,2b9f9c25-43ec-4f0b-9937-a5aa23be0d9e,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.197,0.252,0.511,99,377,350,69,26,36,5,5,0,23,45,81,1,0,53,15,0.283,0.763,179,0,136,43,0,4,3,43
Murray Pony,2ca0c790-e1d5-4a14-ab3c-e9241c87fc23,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Vito Kravitz,2e13249e-38ff-46a2-a55e-d15fa692468a,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.206,0.245,0.521,99,489,457,94,26,37,21,11,0,25,65,100,6,0,82,15,0.183,0.766,238,0,213,25,1,3,4,61
Raúl Leal,2e6d4fa9-f930-47bd-971a-dd54a3cf7db1,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.217,0.269,0.453,96,379,351,76,26,47,14,2,0,13,32,102,2,0,65,18,0.277,0.722,159,0,112,44,2,4,1,35
Zion Aliciakeyes,2e86de11-a2dd-4b28-b5fe-f4d0c38cd20b,TGRS,747b8e4a-7e50-4638-a973-ea7950a3e739,0.244,0.342,0.609,91,395,340,83,52,46,11,17,0,9,40,70,3,0,58,20,0.345,0.951,207,0,136,34,1,13,3,66
Elijah Valenzuela,2f3d7bc7-6ffb-40c3-a94f-5e626be413c9,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.249,0.322,0.534,99,413,365,91,42,62,6,13,0,10,48,87,6,0,77,22,0.286,0.856,195,0,149,20,1,5,1,46
Bonk Jokes,2ffbaec8-a646-4435-a17a-3a0a2b5f3e16,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.295,0.36,0.665,99,414,373,110,39,68,11,5,0,26,72,49,2,0,65,27,0.415,1.025,248,0,119,71,0,7,3,50
Jorge Ito,3064c7d6-91cc-4c2a-a433-1ce1aabc1ad4,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Math Velazquez,32551e28-3a40-47ae-aed1-ff5bc66be879,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.256,0.305,0.616,99,436,406,104,29,53,17,2,0,32,64,55,1,0,57,20,0.351,0.921,250,0,163,58,1,39,5,62
Eduardo Woodman,32810dca-825c-4dbc-8b65-0702794c424e,PIES,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0.284,0.325,0.651,99,578,539,153,35,76,22,24,0,31,90,90,4,0,102,36,0.353,0.976,351,0,189,87,2,7,3,94
Ren Morin,32c9bce6-6e52-40fa-9f64-3629b3d026a8,TGRS,747b8e4a-7e50-4638-a973-ea7950a3e739,0.169,0.204,0.309,99,456,431,73,20,49,16,0,0,8,46,142,4,0,81,19,0.235,0.513,133,0,103,91,0,2,1,40
Theodore Holloway,3a8c52d7-4124-4a65-a20d-d51abcbe6540,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.217,0.275,0.462,99,391,359,78,29,44,19,5,0,10,44,77,1,0,63,18,0.286,0.737,166,0,144,40,3,11,3,44
Dickerson Greatness,3afb30c1-1b12-466a-968a-5a9a21458c7f,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.333,0.333,1.333,3,3,3,1,0,0,0,0,0,1,1,1,0,0,0,0,,1.666,4,0,0,1,0,0,0,1
Tiana Cash,3d4545ed-6217-4d7a-9c4a-209265eb6404,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.5,0.5,1.0,2,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,,1.5,2,0,1,0,0,0,0,0
Jaxon Buckley,405dfadf-d435-4307-82f6-8eba2287e87a,PIES,23e4cbc1-e9cd-47fa-a35b-bfa06f726cb7,0.327,0.362,0.713,99,539,501,164,31,75,46,13,0,30,109,46,7,0,99,40,0.404,1.075,357,0,175,99,3,5,3,82
Winnie Mccall,413b3ddb-d933-4567-a60e-6d157480239d,NYM,36569151-a2fb-43c1-9df7-2df512424c82,0.229,0.255,0.385,99,400,384,88,14,61,15,5,0,7,43,99,2,0,69,22,0.319,0.64,148,0,109,80,3,9,0,33
Axel Cardenas,4204c2d1-ca48-4af7-b827-e99907f12d61,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.184,0.201,0.338,98,314,305,56,7,38,6,2,0,10,27,96,2,0,49,7,0.143,0.539,103,0,73,70,1,4,0,19
Miguel Javier,43bf6a6d-cc03-4bcf-938d-620e185433e1,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,1.0,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2.0,1,0,0,0,0,1,0,0
Justice Spoon,43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.263,0.318,0.635,99,318,293,77,24,39,12,5,0,21,53,53,1,0,56,14,0.25,0.953,186,0,89,63,0,6,0,44
Francisco Preston,44c92d97-bb39-469d-a13b-f2dd9ae644d1,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.259,0.287,0.601,99,435,409,106,19,48,20,13,0,25,68,53,7,0,86,23,0.267,0.888,246,0,164,58,1,12,1,58
Brock Watson,4542f0b0-3409-4a4a-a9e1-e8e8e5d73fcf,CDMX,57ec08cc-0411-4643-b304-0e80dbc15ac7,0.196,0.221,0.362,99,384,367,72,13,44,17,2,0,9,30,84,4,0,42,17,0.405,0.583,133,0,115,78,3,7,2,22
Stew Briggs,46721a07-7cd2-4839-982e-7046df6e8b66,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.172,0.184,0.252,99,358,349,60,6,50,4,0,0,6,27,142,3,0,78,12,0.154,0.436,88,0,80,48,3,8,2,26
Rhys Trombone,472f50c0-ef98-4d05-91d0-d6359eec3946,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,1.0,1.0,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,2.0,1,0,0,0,0,0,0,0
Shaquille Torres,495a6bdc-174d-4ad6-8d51-9ee88b1c2e4a,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,0,1,0,0,0,0
Thomas Dracaena,4b3e8e9b-6de1-4840-8751-b1fb45dc5605,NYM,36569151-a2fb-43c1-9df7-2df512424c82,0.274,0.307,0.576,99,424,401,110,20,60,21,7,0,22,37,57,3,0,38,7,0.184,0.883,231,0,167,47,3,5,1,67
Rodriguez Internet,4b6f0a4e-de18-44ad-b497-03b1f470c43c,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.301,0.328,0.509,99,388,369,111,16,82,8,10,0,11,45,64,2,0,83,26,0.313,0.837,188,0,142,37,1,5,2,37
Velasquez Alstott,4ca52626-58cd-449d-88bb-f6d631588640,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.178,0.202,0.34,99,416,400,71,13,44,13,3,0,11,33,165,3,0,76,13,0.171,0.542,136,0,102,45,1,3,1,36
Sutton Picklestein,4e6ad1a1-7c71-49de-8bd5-c286712faf9e,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.283,0.304,0.585,99,437,424,120,13,59,21,26,0,14,55,40,0,0,61,18,0.295,0.889,248,0,121,118,3,34,0,80
Sutton Dreamy,4ecee7be-93e4-4f04-b114-6b333e0e6408,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.18,0.238,0.421,99,421,378,68,32,41,6,10,0,11,44,148,11,0,73,10,0.137,0.659,159,0,100,47,3,7,3,38
Stephens Lightner,4f328502-d347-4d2c-8fad-6ae59431d781,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.197,0.217,0.36,99,387,375,74,10,48,10,7,0,9,28,115,2,0,78,14,0.179,0.577,135,0,124,45,3,5,2,39
Igneus Delacruz,4f69e8c2-b2a1-4e98-996a-ccf35ac844c5,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.265,0.331,0.481,99,472,426,113,43,92,7,0,0,14,44,85,3,0,74,14,0.189,0.812,205,0,145,67,2,10,4,52
Annie Roland,4f7d7490-7281-4f8f-b62e-37e99a7c46a0,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,2,0,0,0,0,0
Schneider Bendie,4ffd2e50-bb5b-45d0-b7c4-e24d41b2ff5d,NYM,36569151-a2fb-43c1-9df7-2df512424c82,0.199,0.216,0.563,99,356,336,67,10,20,6,17,0,24,54,79,10,0,56,10,0.179,0.779,189,0,134,40,2,6,2,40
Reese Clark,503a235f-9fa6-41b5-8514-9475c944273f,SPY,9debc64f-74b7-4ae1-a4d6-fce0144b6ea5,0.273,0.324,0.595,99,401,373,102,28,57,17,9,0,19,49,58,0,0,51,17,0.333,0.919,222,0,108,95,0,6,2,51
Jacob Haynes,51c5473a-7545-4a9a-920d-d9b718d0e8d1,BOS,3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e,0.325,0.358,0.78,99,336,314,102,18,40,23,15,0,24,56,35,3,0,53,17,0.321,1.138,245,0,102,69,1,3,2,58
Oliver Notarobot,542af915-79c5-431c-a271-f7185e37c6ae,SEA,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,0.228,0.262,0.454,99,447,425,97,20,62,13,3,0,19,47,116,2,0,55,11,0.2,0.716,193,0,104,96,0,8,3,47
Jessi Wise,57448b62-f952-40e2-820c-48d8afe0f64d,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.5,1.0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,1.5,1,0,1,0,0,0,0,0
Kichiro Guerra,58c9e294-bd49-457c-883f-fb3162fc668e,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.157,0.214,0.368,99,407,370,58,29,31,13,6,0,8,40,126,8,0,91,19,0.209,0.582,136,0,110,63,2,17,3,30
Randy Dennis,5a26fc61-d75d-4c01-9ce2-1880ffb5550f,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.234,0.255,0.48,99,368,354,83,11,44,18,5,0,16,54,79,3,0,85,21,0.247,0.735,170,0,97,80,1,11,1,46
Kennedy Alstott,5b9727f7-6a20-47d2-93d9-779f0a85c4ee,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Paula Turnip,5bcfb3ff-5786-4c6c-964c-5c325fcc48d7,SEA,105bc3ff-1320-4e37-8ef0-8d595cb95dd0,0.265,0.299,0.643,99,364,347,92,17,44,11,8,0,29,64,71,0,0,60,16,0.267,0.942,223,0,136,26,6,21,1,53
Wyatt Quitter,5ca7e854-dc00-4955-9235-d7fcd732ddcf,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.162,0.235,0.388,99,306,278,45,27,27,9,0,0,9,24,98,1,0,45,5,0.111,0.623,108,0,76,40,1,0,0,25
Conrad Vaughan,5dbf11c0-994a-4482-bd1e-99379148ee45,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.254,0.285,0.473,89,389,370,94,17,59,18,5,0,12,45,72,2,0,55,14,0.255,0.758,175,0,106,79,4,4,2,38
Sutton Bishop,5eac7fd9-0d19-4bf4-a013-994acc0c40c0,HELL,f02aeae2-5e6a-4098-9842-02d2273f25c7,0.241,0.256,0.492,99,493,465,112,14,57,31,0,0,24,91,81,14,0,105,27,0.257,0.748,229,0,195,47,5,8,2,61
Peanutiel Duffy,5ff66eae-7111-4e3b-a9b8-a9579165b0a5,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.284,0.33,0.638,96,276,257,73,18,34,17,10,0,12,35,36,1,0,43,14,0.326,0.968,164,0,130,12,0,0,0,48
Alston Cerveza,611d18e0-b972-4cdd-afc2-793c56bfe5a9,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.305,0.348,0.68,99,356,331,101,23,55,14,9,0,23,50,39,2,0,63,16,0.254,1.028,225,0,106,70,2,9,3,59
Oscar Dollie,63512571-2eca-4bc4-8ad9-a5308a22ae22,YELL,7966eb04-efcc-499b-8f03-d13916330531,0.261,0.301,0.61,99,356,326,85,22,45,9,10,0,21,58,34,8,0,48,15,0.313,0.911,199,0,157,31,5,8,0,56
Mcdowell Mason,63df8701-1871-4987-87d7-b55d4f1df2e9,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.245,0.283,0.628,99,563,530,130,29,50,22,22,0,36,81,75,3,0,72,23,0.319,0.911,333,0,204,84,7,15,3,89
Theodore Passon,64b055d1-b691-4e0c-8583-fc08ba663846,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.0,0,0,0,0,0,0,0,0
Grey Alvarado,64f4cd75-0c1e-42cf-9ff0-e41c4756f22a,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.163,0.204,0.346,99,330,312,51,16,31,9,1,0,10,26,114,0,0,42,7,0.167,0.55,108,0,109,21,4,6,1,28
Peanut Holloway,667cb445-c288-4e62-b603-27291c1e475d,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.285,0.331,0.609,99,278,256,73,19,37,16,12,0,8,41,34,3,0,47,15,0.319,0.94,156,0,108,29,3,8,1,43
Baby Doyle,678170e4-0688-436d-a02d-c0467f9af8c0,JAZZ,a37f9158-7f82-46bc-908c-c9e2dda7c33b,0.313,0.335,0.654,99,400,384,120,14,59,29,8,0,24,68,60,2,0,67,25,0.373,0.989,251,0,87,104,5,7,6,55
Isaac Johnson,68f98a04-204f-4675-92a7-8823f2277075,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.259,0.303,0.58,99,307,286,74,19,37,13,12,0,12,34,43,2,0,55,14,0.255,0.883,166,0,115,40,1,25,3,38
Joshua Butt,69196296-f652-42ff-b2ca-0d9b50bd9b7b,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.25,0.276,0.491,79,239,224,56,10,30,13,8,0,5,30,42,5,0,52,11,0.212,0.767,110,0,54,66,2,4,2,24
Cudi Di Batterino,6a567da6-7c96-44d3-85de-e5a08a919250,LIFT,c73b705c-40ad-4633-a6ed-d357ee2e2bcf,0.191,0.256,0.376,99,347,314,60,29,43,11,0,0,6,22,84,4,0,52,12,0.231,0.632,118,0,128,27,2,2,1,20
