name,id,team_abb,team_id,batting_average,on_base_percentage,slugging,appearances,plate_appearances,at_bats,hits,walks,singles,doubles,triples,quadruples,home_runs,runs_batted_in,strikeouts,sacrifice_bunts,sacrifice_flies,at_bats_risp,hits_risp,batting_average_risp,on_base_slugging,total_bases,hit_by_pitches,ground_outs,flyouts,gidp,stolen_bases,caught_stealing,runs
Frasier Shmurmgle,be35caba-b16a-4e0d-b927-4da857f4cdb5,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,1,0,0,0,0,0
Rat Mason,bf6a24d1-4e89-4790-a4ba-eeb2870cbf6f,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.264,0.31,0.507,98,516,477,126,34,89,13,3,0,21,59,80,5,0,102,29,0.284,0.817,242,0,207,49,3,7,1,53
Declan Suzanne,bfd9ff52-9bf6-4aaf-a859-d308d8f29616,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.087,0.12,0.164,99,300,286,25,11,18,4,2,0,1,11,185,3,0,70,3,0.043,0.284,47,0,60,12,0,0,1,12
Paula Mason,c0177f76-67fc-4316-b650-894159dede45,TGRS,747b8e4a-7e50-4638-a973-ea7950a3e739,0.253,0.308,0.575,99,516,471,119,40,73,12,2,0,32,69,65,5,0,73,18,0.247,0.883,271,0,207,54,3,31,4,86
Nagomi Mcdaniel,c0732e36-3731-4f1a-abdc-daa9563b6506,FRI,979aee4a-6d80-4863-bf1c-ee1a78e06024,0.3,0.336,0.81,99,447,416,125,25,42,21,20,0,42,106,67,6,0,76,25,0.329,1.146,337,0,148,54,5,41,1,81
Cannonball Sports,c0998a08-de15-4187-b903-2e096ffa08e5,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.28,0.332,0.591,99,377,347,97,28,58,14,9,0,16,46,56,2,0,74,20,0.27,0.923,205,0,93,92,3,3,0,51
Lenny Spruce,c09e64b6-8248-407e-b3af-1931b880dbee,KCBM,adc5b394-8f76-416d-9ce9-813706877b84,0.224,0.262,0.438,99,317,299,67,16,45,7,4,0,11,26,87,2,0,43,13,0.302,0.7,131,0,97,42,1,6,1,36
August Mina,c17a4397-4dcc-440e-8c53-d897e971cae9,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.5,1.0,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,,1.5,1,0,0,0,0,0,0,0
Swamuel Mora,c182f33c-aea5-48a2-97ed-dc74fa29b3c0,CHI,ca3f1c8c-c025-4d8e-8eef-5be6accbeb16,0.262,0.301,0.579,99,352,328,86,20,46,17,2,0,21,57,56,4,0,54,19,0.352,0.88,190,0,94,78,1,4,3,44
Carmelo Plums,c18961e9-ef3f-4954-bd6b-9fe01c615186,TGRS,747b8e4a-7e50-4638-a973-ea7950a3e739,0.2,0.267,0.44,84,390,350,70,34,45,8,9,0,8,47,68,6,0,86,17,0.198,0.707,154,0,138,49,2,8,0,42
Logan Horseman,c22e3af5-9001-465f-b450-864d7db2b4a0,DALE,b63be8c2-576a-4d6e-8daf-814f8bcea96f,0.253,0.325,0.588,99,335,296,75,34,47,7,5,0,16,39,66,5,0,59,16,0.271,0.913,174,0,109,35,3,20,5,42
Cedric Spliff,c31d874c-1b4d-40f2-a1b3-42542e934047,CAN,eb67ae5e-c4bf-46ca-bbbc-425cd34182ff,0.221,0.289,0.453,99,391,353,78,35,54,9,7,0,8,25,72,3,0,52,8,0.154,0.742,160,0,122,58,2,7,1,51
Charlatan Seabright,c4dec95e-78a1-4840-b209-b3b597181534,NYM,36569151-a2fb-43c1-9df7-2df512424c82,0.165,0.188,0.35,99,414,400,66,12,40,7,2,0,17,37,148,2,0,66,9,0.136,0.538,140,0,122,45,4,6,1,35
Valentine Games,c675fcdf-6117-49a6-ac32-99a89a3a88aa,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.313,0.34,0.75,99,538,512,160,23,61,36,24,0,39,100,49,3,0,96,32,0.333,1.09,384,0,181,108,3,9,1,84
Eduardo Ingram,c73d59dd-32a0-49ce-8ab4-b2dbb7dc94ec,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,2,0,0,0,0,0
Basilio Fig,c755efce-d04d-4e00-b5c1-d801070d3808,TACO,878c1bf6-0d21-4659-bfee-916c8314d69c,0.217,0.248,0.51,99,492,469,102,20,50,12,15,0,25,62,118,2,0,91,22,0.242,0.758,239,0,141,92,2,3,1,56
Zi Delacruz,c83a13f6-ee66-4b1c-9747-faa67395a6f1,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0,0,0,1,0,0,0,0
Langley Wheeler,c83f0fe0-44d1-4342-81e8-944bb38f8e23,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0.0,0,0,0,0,0,0,0,0
Sosa Elftower,c86b5add-6c9a-40e0-aa43-e4fd7dd4f2c7,CHST,bfd38797-8404-4b38-8b82-341da28b1f83,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,0,1,0,0,0,0,0
Alexander Horne,c9e4a49e-e35a-4034-a4c7-293896b40c58,LVRS,b72f3061-f573-40d7-832a-5ad475bd7909,0.177,0.287,0.452,99,387,334,59,52,39,5,10,0,5,24,112,1,0,45,10,0.222,0.739,151,0,120,22,0,16,1,36
